route_long_name,route_short_name,agency_id,route_desc,route_type,route_id,route_url,route_color,route_text_color
BYTOM DWORZEC - PYRZOWICE PORT LOTNICZY (KATOWICE AIRPORT),85,1,Bytom Dworzec - Rozbark Siemianowicka - Rozbark Zakłady Orzeł Biały - Brzeziny Śląskie Stare Osiedle - Brzeziny Śląskie Harcerska - Brzeziny Śląskie Skrzyżowanie - Brzeziny Śląskie - Osiedle Powstańców - Kamień - Bobrowniki Rondo - Bobrowniki Remiza - Dobieszowice Skrzyżowanie - Siemonia Kościół - Myszkowice - Pyrzowice Szkoła - Pyrzowice Port Lotniczy (Katowice Airport),3,85,https://rj.metropoliaztm.pl/rozklady/3-85,FF0080,
BYTOM DWORZEC - PYSKOWICE SZPITALNA,20,1,Bytom Dworzec - Bytom Łużycka - Karb - Miechowice Kopalnia - Rokitnica Pętla - Helenka Kościół - Stolarzowice Poczta - Górniki Skrzyżowanie - Górniki Gospoda - Ptakowice Szkoła - Zbrosławice Kościół - Zbrosławice Szkoła - Kamieniec Apteka - Kamieniec - Boniowice Skrzyżowanie - Karchowice II - Zawada - Pyskowice Plac Wyszyńskiego - Pyskowice Szpitalna,3,20,https://rj.metropoliaztm.pl/rozklady/3-20,000000,00FFFF
BYTOM DWORZEC - ROJCA CENTRUM PRZESIADKOWE,708,1,Bytom Dworzec - Bytom Zajezdnia - Rojca Baza Paliw - Rojca Nieznanego Żołnierza - Rojca Centrum Przesiadkowe,3,708,https://rj.metropoliaztm.pl/rozklady/3-708,FF0000,00FFFF
BYTOM DWORZEC - WIESZOWA PĘTLA,132,1,Bytom Dworzec - Bytom Łużycka - Karb - Rokitnica Pętla - Rokitnica Andersa - Wieszowa Stacja Paliw - Wieszowa Cmentarz - Wieszowa Pętla,3,132,https://rj.metropoliaztm.pl/rozklady/3-132,000000,80FFFF
BYTOM DWORZEC - WOJKOWICE PARK,52,1,Bytom Dworzec - Bytom Zajezdnia - Szarlej Szpital - Szarlej Wyszyńskiego - Bobrowniki Namiarki - Bobrowniki Rondo - Bobrowniki Remiza - Dobieszowice Kościuszki - Dobieszowice Skrzyżowanie - Rogoźnik Narutowicza - Wojkowice Park,3,52,https://rj.metropoliaztm.pl/rozklady/3-52,000000,00FFFF
BYTOM DWORZEC - WOJKOWICE PARK,700,1,Bytom Dworzec - Bytom Zajezdnia - Szarlej Szpital - Szarlej Poczta - Piekary Bazylika - Kozłowa Góra - Wymysłów Kościuszki - Dobieszowice Skrzyżowanie - Rogoźnik Narutowicza - Wojkowice Park,3,700,https://rj.metropoliaztm.pl/rozklady/3-700,80FF80,FF80FF
BYTOM DWORZEC - WYGODA SKRZYŻOWANIE,M21,1,Bytom Dworzec - Szombierki Kościół - Godula Plac Niepodległości - Halemba Solidarności - Wygoda Skrzyżowanie,3,1034,https://rj.metropoliaztm.pl/rozklady/3-M21,FF0000,
BYTOM DWORZEC - ZABRZE GOETHEGO,15,1,Bytom Dworzec - Karb - Rokitnica Pętla - Rokitnica Andersa - Wieszowa Waldhof - Grzybowice Witosa - Mikulczyce Plac Kroczka - Zabrze Przystankowa - Zabrze Plac Teatralny - Zabrze Goethego,3,15,https://rj.metropoliaztm.pl/rozklady/3-15,FF0000,FFFFFF
BYTOM PLAC SIKORSKIEGO - CHORZÓW STADION ŚLĄSKI,T9,1,Bytom Plac Sikorskiego - Szombierki Kościół - Godula Inkubator - Chebzie Pętla  - Bykowina Mijanka - Zgoda Komenda Policji - Świętochłowice Mijanka - Chorzów Bałtycka - Chorzów Rynek - Chorzów Stadion Śląski,0,1078,https://rj.metropoliaztm.pl/rozklady/0-T9,000000,FF00FF
BYTOM POWSTAŃCÓW ŚLĄSKICH - BYTOM PLAC SIKORSKIEGO,T38,1,Bytom Powstańców Śląskich - Bytom Plac Sikorskiego,0,1070,https://rj.metropoliaztm.pl/rozklady/0-T38,000000,FFFFFF
BYTOM SZKOŁA MEDYCZNA - BRYNÓW CENTRUM PRZESIADKOWE,T6,1,Bytom Szkoła Medyczna - Bytom Wallisa - Bytom Wrocławska - Bytom Urząd Miasta - Bytom Plac Sikorskiego - Bytom Teatr Tańca-Rozbark - Bytom Arki Bożka - Łagiewniki Zajezdnia - Chorzów Rynek - Chorzów Stadion Śląski - Park Śląski Ogród Zoologiczny - Dąb Kościół - Katowice Rondo - Katowice Rynek - Katowice Plac Miarki - Katowice Kościuszki Szpital - Brynów Gawronów - Brynów Centrum Przesiadkowe,0,1076,https://rj.metropoliaztm.pl/rozklady/0-T6,000000,FFFFFF
BĘDZIN CMENTARZ KOMUNALNY - OS. ZAMKOWE ZAJEZDNIA,T47,1,Będzin Cmentarz Komunalny - Nowak-Mosty Będzin Arena - Będzin Rondo - Os. Zamkowe Zajezdnia,0,1073,https://rj.metropoliaztm.pl/rozklady/0-T47,000000,80FFFF
BĘDZIN DWORZEC - RATANICE,243,1,Będzin Dworzec - Nowak-Mosty Będzin Arena - Będzin Muzeum - Łagisza Poczta - Ratanice,3,243,https://rj.metropoliaztm.pl/rozklady/3-243,FF00FF,FF8080
BĘDZIN KOŚCIUSZKI - BYTOM DWORZEC,104,1,Będzin Kościuszki - Nowak-Mosty Będzin Arena - Będzin Muzeum - Gródków Szkoła - Psary Kościół - Wojkowice Park - Żychcice Pętla - Kamyce Posesja 500 - Bobrowniki Rondo - Szarlej Wyszyńskiego - Szarlej Szpital - Bytom Dworzec,3,104,https://rj.metropoliaztm.pl/rozklady/3-104,000000,FF8080
BĘDZIN KOŚCIUSZKI - BYTOM DWORZEC,24,1,Będzin Kościuszki - Nowak-Mosty Będzin Arena - Będzin Muzeum - Będzin Targowisko - Grodziec Kościół - Grodziec Poczta - Wojkowice Łęg - Wojkowice Park - Żychcice Pętla - Kamyce Posesja 500 - Bobrowniki Rondo - Szarlej Wyszyńskiego - Szarlej Szpital - Bytom Dworzec,3,24,https://rj.metropoliaztm.pl/rozklady/3-24,008000,FF8080
BĘDZIN KOŚCIUSZKI - BYTOM DWORZEC,42,1,Będzin Kościuszki - Nowak-Mosty Będzin Arena - Piaski Centrum Handlowe - Czeladź Stare Miasto - Dąbrówka Wielka Rozalki - Dąbrówka Wielka Skrzyżowanie - Dąbrówka Wielka - Brzeziny Śląskie Skrzyżowanie - Brzeziny Śląskie Stare Osiedle - Rozbark Zakłady Orzeł Biały - Rozbark Siemianowicka - Bytom Plac Sobieskiego - Bytom Dworzec,3,42,https://rj.metropoliaztm.pl/rozklady/3-42,FFFF00,FF8080
BĘDZIN KOŚCIUSZKI - BYTOM DWORZEC,99,1,Będzin Kościuszki - Nowak-Mosty Będzin Arena - Będzin Muzeum - Będzin Targowisko - Grodziec Kościół - Grodziec Poczta - Wojkowice Łęg - Wojkowice Park - Żychcice Pętla - Bobrowniki Sienkiewicza - Bobrowniki Remiza - Bobrowniki Rondo - Bobrowniki Namiarki - Szarlej Wyszyńskiego - Szarlej Szpital - Bytom Dworzec,3,99,https://rj.metropoliaztm.pl/rozklady/3-99,80FF80,FF8080
