monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date,service_id
0,0,0,0,0,0,1,20260823,20260823,17
0,0,0,0,0,0,1,20260823,20260830,merged2574
0,0,0,0,0,0,1,20260830,20260830,6
0,0,0,0,0,1,0,20260829,20260829,5
0,0,0,0,0,1,0,20260829,20260912,merged806
0,0,0,0,0,1,0,20260901,20260912,2
0,1,1,1,0,0,0,20260825,20260827,8
1,1,1,1,1,0,0,20260901,20260912,1
