stop_name,stop_code,stop_id,stop_lat,stop_lon,stop_url
Szopienice Szpital Geriatryczny,2469011-25502,4913,50.265587,19.094624,https://rj.metropoliaztm.pl/rozklady/przystanek/2469011-25502/
Szopienice Wiadukt,2469011-41231,10390,50.261368,19.104961,https://rj.metropoliaztm.pl/rozklady/przystanek/2469011-41231/
Szopienice Wiadukt [tech],2469011-36401t,6899,50.26129,19.105616,https://rj.metropoliaztm.pl/rozklady/przystanek/2469011-36401t/
Szopienice Wodociągi,2469011-25601t,4462,50.26469,19.072378,https://rj.metropoliaztm.pl/rozklady/przystanek/2469011-25601t/
Szopienice Wodociągi,2469011-25602t,4463,50.265026,19.072355,https://rj.metropoliaztm.pl/rozklady/przystanek/2469011-25602t/
Szopienice Wodociągi,2469011-25631,10327,50.26492,19.072699,https://rj.metropoliaztm.pl/rozklady/przystanek/2469011-25631/
Szopienice Wodociągi,2469011-25632,10326,50.26459,19.07227,https://rj.metropoliaztm.pl/rozklady/przystanek/2469011-25632/
Sączów Kościół,2401042-03102,2611,50.438896,19.03507,https://rj.metropoliaztm.pl/rozklady/przystanek/2401042-03102/
Sączów Remiza,2401042-03301,2612,50.434666,19.033602,https://rj.metropoliaztm.pl/rozklady/przystanek/2401042-03301/
Sączów Remiza,2401042-03302,2613,50.434597,19.033579,https://rj.metropoliaztm.pl/rozklady/przystanek/2401042-03302/
Sączów Remiza,2401042-03304,5576,50.434788,19.032635,https://rj.metropoliaztm.pl/rozklady/przystanek/2401042-03304/
Sączów Remiza,2401042-03305,5577,50.434727,19.03268,https://rj.metropoliaztm.pl/rozklady/przystanek/2401042-03305/
Sławków Dworzec PKP,2401081-01201,3623,50.295753,19.374363,https://rj.metropoliaztm.pl/rozklady/przystanek/2401081-01201/
Sławków Dworzec PKP,2401081-01202,3624,50.29568,19.374199,https://rj.metropoliaztm.pl/rozklady/przystanek/2401081-01202/
Sławków Jagiellońska I,2401081-03201,9802,50.302223,19.394392,https://rj.metropoliaztm.pl/rozklady/przystanek/2401081-03201/
Sławków Jagiellońska II,2401081-03301,9803,50.301838,19.392193,https://rj.metropoliaztm.pl/rozklady/przystanek/2401081-03301/
Sławków Kolejowa,2401081-01303,1473,50.29825,19.370249,https://rj.metropoliaztm.pl/rozklady/przystanek/2401081-01303/
Sławków Kolejowa,2401081-01304,1474,50.29827,19.36998,https://rj.metropoliaztm.pl/rozklady/przystanek/2401081-01304/
Sławków Korzenna,2401081-01401,1184,50.28854,19.357086,https://rj.metropoliaztm.pl/rozklady/przystanek/2401081-01401/
Sławków Korzenna,2401081-01402,1185,50.28871,19.357607,https://rj.metropoliaztm.pl/rozklady/przystanek/2401081-01402/
