stop_id,stop_code_add,community_ids,stop_vehicle_type_ids,stop_attribute_ids,stop_long_name,city,street,voice_message_code
2888,"1",26,3,2_3,"","Mysłowice","Oświęcimska",0
2487,"1",21,3,2,"","Lędziny","Oficerska",0
6057,"2",14,3,2,"","Gliwice","Kozielska",0
4054,"2",6,3,1,"","Będzin","Hugona Kołłątaja",0
309,"1",26,3,2_3_4,"","Mysłowice","Generała Jerzego Ziętka",0
4297,"1t",53,2,2,"","Świętochłowice","Bytomska",0
1988,"1",43,3,2_3_4,"","Sosnowiec","3 Maja",0
2001,"1",43,3,2,"","Sosnowiec","Długa",0
2899,"2",5,3,2_3,"","Bytom","Strzelców Bytomskich",0
6043,"2",44,3,2_3,"","Sośnicowice","Gliwicka",0
1889,"4",43,3,2_3,"","Sosnowiec","Kopalniana",0
10000,"2",6,3,2_3,"","Będzin","Piastowska",0
4414,"1t",43,2,2,"","Sosnowiec","Andersa",0
678,"1/Śmiło",24,3,2_3_4,"","Mikołów","Prusa",0
2025,"2",14,3,2_3,"","Gliwice","Oriona",0
3582,"1",49,3,2_3,"","Zabrze","Roosevelta",0
4987,"1",49,3,1_3,"","Zabrze","Witosa",0
3815,"2",49,3,1_3,"","Zabrze","Brygadzistów",0
1547,"2",21,3,2,"","Lędziny","Murckowska",0
2242,"2",10,3,2_3,"","Czeladź","Francuska",0
6159,"02",46,3,2,"","Tychy","Ziębia",0
1960,"1",60,3,1,"","Tarnowskie Góry","Starowapienna",0
4746,"1",14,3,2_3,"","Gliwice","Ignacego Daszyńskiego",0
1648,"1",49,3,1,"","Zabrze","Legnicka",0
102,"2",6,3,2_3,"","Będzin","Aleja Hugona Kołłątaja",0
2452,"2",14,3,1,"","Gliwice","Toszecka",0
4016,"2",42,3,1,"","Wojkowice Kościelne","Przeczycka",0
2980,"1",21,3,2_3,"","Lędziny","Lędzińska",0
7121,"1",26,3,2,"","Mysłowice","Polskiego Czerwonego Krzyża",0
1934,"2",14,3,1_3,"","Gliwice","Rybnicka",0
3891,"2",30,3,1_3,"","Ożarowice","Główna",0
2990,"1",47,3,2_3,"","Wojkowice","Jana III Sobieskiego",0
4128,"1",36,3,2_3,"","Pyskowice","Szpitalna",0
1890,"1",43,3,2,"","Sosnowiec","Szybowa",0
6884,"2t",5,2,2,"","Bytom","Piekarska",0
8902,"2",12,3,2,"","Dąbrowa Górnicza","Laski",0
3919,"2",23,3,2_3,"","Mierzęcice","Leśna",0
5710,"2",,,6,"","<Żadna>","",0
9688,"01",17,3,2,"","Katowice","Paderewskiego",0
2604,"1",60,3,2,"","Tarnowskie Góry","Powstańców Warszawskich",0
8511,"4",17,3,2,"","Katowice","73 Pułku Piechoty",0
6736,"4",86,3,2,"","Żory","Mikołowska",0
6333,"2",46,3_3,2_3,"","Tychy","Generała Grota-Roweckiego",0
4462,"1t",17,2,2,"","Katowice","Obrońców Westerplatte",0
1003,"2",,,6,"","<Żadna>","",0
4564,"2",53,3,2_3_4,"","Świętochłowice","Katowicka",0
1524,"2",6,3,1,"","Będzin","Siemońska",0
5035,"1",8,3,2,"","Chorzów","Styczyńskiego",0
6833,"1",35,3,1,"","Pszczyna","Żubrów",0
4897,"2",42,3,2,"","Brudzowice","Szkolna",0
2007,"2",60,3,2_3,"","Tarnowskie Góry","Opolska",0
2906,"2",31,3,2_3_4,"","Piekary Śląskie","Bytomska",0
3540,"1",45,3,2_3,"","Sławków","Olkuska",0
2440,"1",13,3,1,"","Przyszowice","Makoszowska",0
463,"2",14,3,1,"","Gliwice","Strzelców Bytomskich",0
7141,"5",43,3,2,"","Sosnowiec","Armii Krajowej",0
3789,"2",60,3,2_3,"","Tarnowskie Góry","Jagodowa",0
3702,"1",18,3,2_3,"","Knurów","Dworcowa",0
5712,"1",32,3,1,"","Pilchowice","Dworcowa",0
899,"1",,,6,"","<Żadna>","",0
5906,"2",57,3,2_3,"","Toszek","Wiejska",0
8824,"1",12,3,2,"","Dąbrowa Górnicza","Kościelna",0
5690,"6",34,3,2,"","Psary","Graniczna",0
6271,"2",46,3,2,"","Tychy","Hutnicza",0
1311,"2",43,3,2_3,"","Sosnowiec","Hubala-Dobrzańskiego",0
725,"1",13,3,2_3,"","Gierałtowice","Księdza Władysława Roboty",0
2179,"1",43,3,2_3,"","Sosnowiec","Piłsudskiego",0
5247,"2",31,3,1_3,"","Piekary Śląskie","Roździeńskiego",0
497,"2",34,3,2,"","Dąbie","Kościelna",0
8763,"3",54,3,2,"","Łaziska Górne","Staszica",0
5597,"4",8,3,2,"","Chorzów","Kruszcowa",0
6669,"1",29,3,2_3,"","Orzesze","Tyska",0
5741,"1",59,3,2,"","Krupski Młyn","Główna",0
4690,"2t",53,2,2,"","Świętochłowice","Wojska Polskiego",0
4822,"1",13,3,2_3,"","Paniówki","Gliwicka",0
10039,"2",6,3,2_3,"","Będzin","bp. Adama Śmigielskiego",0
7979,"2",,,6,"","<Żadna>","",0
4587,"2t",5,2,1,"","Bytom","Łagiewnicka",0
